,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
2883,Weighted bench dip,The weighted bench dip is a highly effective exercise for building the triceps. The resistance comes from a combination of body weight and added weight—usually a weight plate.,Strength,Triceps,Body Only,Intermediate,9.1,Average
2884,Push-Ups - Close Triceps Position,"The close push-up is an upper-body exercise that targets the chest, triceps, and shoulders. The close hand position places more emphasis on the triceps.",Strength,Triceps,Body Only,Intermediate,9,Average
2885,Parallel Bar Dip,"The triceps dip is a bodyweight exercise performed on parallel bars or on a pull-up and dip station. It targets the triceps first, but also stretches and strengthens the chest and shoulders. Dips with a triceps focus are usually performed with an upright torso, the knees bent and crossed, and the arms close to the body. Dips can be performed for low reps for strength or higher reps for muscle growth.",Strength,Triceps,Body Only,Intermediate,8.8,Average
2886,Ring dip,"The ring dip is an upper-body strength exercise performed on gymnastic rings. It targets the muscles of the chest, triceps, and shoulders, but is also quite taxing to the core. It is generally considered to be more difficult than dips performed on parallel bars. It is common in gymnastics training and CrossFit workouts, but is also a simple way to make dips more challenging for any strength athlete.",Strength,Triceps,Body Only,Intermediate,8.8,Average
2887,Feet-elevated bench dip,"The feet-elevated bench dip is a popular bodyweight exercise for building the triceps, chest, and shoulders. Elevating the feet brings more chest and shoulder into the movement, but also allows for extra weight on the hips. If these bother your shoulders, try performing them between two benches or chairs rather than on a single bench.",Strength,Triceps,Body Only,Intermediate,8.7,Average
2888,Bodyweight triceps press,The bodyweight triceps press is an arm movement that involves performing overhead presses in a face-down position on a Smith machine or other raised bar. It is a surprisingly difficult movement that hammers all three heads of the triceps and the difficulty can easily be scaled up or down by moving the bar.,Strength,Triceps,Body Only,Intermediate,8.2,Average
2889,Standing Towel Triceps Extension,,Strength,Triceps,Body Only,Beginner,6.5,Average
2890,Tricep Side Stretch,,Stretching,Triceps,Body Only,Intermediate,5.5,Average
2891,Triceps Stretch,,Stretching,Triceps,Body Only,Intermediate,4.8,Average
2912,EZ-Bar Skullcrusher,"The EZ-bar skullcrusher is a popular exercise targeting the triceps muscles. The EZ-bar is used more often than a straight bar. As for the name, that’s worst-case scenario. The bar should actually come down behind the head. It is usually performed for moderate to high reps as part of an upper body or arms-focused workout. No need to chase a 1RM on this move!",Strength,Triceps,E-Z Curl Bar,Intermediate,9,Average
2914,Lying Close-Grip Barbell Triceps Press To Chin,,Strength,Triceps,E-Z Curl Bar,Beginner,8.1,Average
